State or Territory,Number With Current Asthma,Percent With Current Asthma (SE)
Alabama,"341,720",9.0 (0.52)
Alaska,"48,173",8.9 (0.78)
Arizona,"550,729",9.6 (0.41)
Arkansas,"210,340",9.1 (0.58)
California,"2,848,466",9.3 (0.60)
Colorado,"434,782",9.6 (0.35)
Connecticut,"299,193",10.6 (0.51)
Delaware,"83,428",10.8 (0.74)
District of Columbia,"59,464",10.4 (0.71)
Florida,"1,276,625",7.3 (0.45)
Georgia,"736,912",9.0 (0.50)
Hawaii,"96,890",8.8 (0.44)
Idaho,"127,406",9.4 (0.56)
Illinois,"832,244",8.5 (0.59)
Indiana,"497,539",9.6 (0.39)
Iowa,"220,085",9.1 (0.36)
Kansas,"216,312",9.8 (0.39)
Kentucky,"395,633",11.5 (0.65)
Louisiana,"276,711",7.8 (0.53)
Maine,"115,621",10.6 (0.47)
Maryland,"420,686",8.9 (0.34)
Massachusetts,"592,048",10.7 (0.50)
Michigan,"859,534",11.0 (0.50)
Minnesota,"369,238",8.5 (0.28)
Mississippi,"201,273",8.9 (0.47)
Missouri,"441,777",9.3 (0.42)
Montana,"89,552",10.6 (0.49)
Nebraska,"114,104",7.8 (0.34)
Nevada,"230,431",9.5 (0.78)
New Hampshire,"127,113",11.5 (0.56)
New Jersey,"598,649",8.7 (0.35)
New Mexico,"162,657",10.1 (0.58)
New York,"1,449,094",9.5 (0.34)
North Carolina,"645,784",7.8 (0.42)
North Dakota,"49,883",8.6 (0.61)
Ohio,"895,631",9.9 (0.36)
Oklahoma,"322,759",10.8 (0.55)
Oregon,"356,958",10.6 (0.48)
Pennsylvania,"1,032,246",10.2 (0.56)
Rhode Island,"103,190",12.1 (0.68)
South Carolina,"385,741",9.4 (0.59)
South Dakota,"53,990",8.1 (0.68)
Tennessee,"552,156",10.3 (0.62)
Texas,"1,617,392",7.4 (0.46)
Utah,"249,663",10.8 (0.38)
Vermont,"54,781",10.8 (0.60)
Virginia,"571,162",8.6 (0.39)
Washington,"579,774",9.6 (0.33)
West Virginia,"175,011",12.4 (0.55)
Wisconsin,"465,109",10.2 (0.63)
Wyoming,"44,192",10.0 (0.65)
Guam,"5,369",5.0 (0.96)
Puerto Rico,"283,602",10.4 (0.74)